종목명,BPS,EPS,SPS,ROE,영업이익률,순이익률,매출액증가율,유동자산증가율,총자산증가율,부채비율,비유동부채비율,유동부채비율
나노씨엠에스,69617.92280377678,-1123.144428330113,2150.3797988332467,-18.316739681198,-560.090996331137,-428.7672443273498,565.1741104617579,593.802372375343,328.48090664722633,492.7157116332111,136.04887073559948,427.59850040628453
솔루엠,59596.94139653604,2932.7973729232544,57263.349253699475,53.8278113417709,53.26456930034662,36.84702559913671,332.6539082996658,349.48291028088806,308.583581371314,2002.8479923288187,157.80308779949968,1845.0449045293194
샘표식품,632406.6762543697,16925.01570568099,181574.90378358407,82.2576861662694,213.70869360630428,181.11605803856247,163.98470831212464,145.29194555352012,114.60061812196963,1549.521688216336,400.88936220168756,1148.632326014649
일동제약,134907.8709056196,-1254.7352605769,55925.91138383847,-52.413610609679495,-68.10839048591579,-205.59729367506054,172.54448964992187,225.58631079780181,119.7095363842945,4406.9329012124535,1805.7047524802908,2601.2281487321616
보라티알,136595.04434753268,4207.593979472968,21723.459591188755,59.6607600089584,301.1109043481985,300.58703803199813,253.59495031141319,623.7560868404341,408.88745047836244,977.2712501211895,19.6142867252432,957.6569633959463
모비스,18885.928955908228,-227.21048999582362,1257.3726586936477,-19.489575574360614,-939.7127464704558,-750.2156574253087,1785.4868215188797,899.6290925910247,1003.4606795312493,867.1786678441493,326.1961555216451,540.9825123225044
예선테크,15259.39386273922,122.6356491295108,3648.5350048260357,-14.197628585498501,-61.67489292396701,-109.77757296130615,-48.91985607687049,16.743559123902287,161.3162316183355,1287.6279895644266,649.5143047070624,638.1136848573642
바이오에프디엔씨,37241.1293237968,488.58314351882905,1930.979354138395,9.768014788070372,218.94689706473767,198.41318014294578,160.66343348234878,1566.9659360880687,641.3787597726946,76.27995337192583,2.049179838729946,74.23077353319589
넷마블,944081.6572607433,-408.1260694485759,69742.18492376733,10.372685414327817,158.57758149267434,45.35974472871407,155.2487956078127,267.35885213711185,412.86954920200503,993.5627495410007,360.1399079039058,633.4228416370947
와이엠티,268064.11951638624,7162.2930454108055,43333.3885129851,61.931714816966526,351.71623952910056,272.71020205504,352.7789794919767,101.6510645990446,157.8179237635705,1641.448401276315,608.8380702936427,1032.6103309826726
브이원텍,166234.18382468369,3207.315660264592,14207.481341354045,40.397580566966774,341.3247587282956,382.6063582713954,665.7229561348635,340.4231422307294,368.3126647990078,853.9517672628483,311.68694061447417,542.2648266483741
펌텍코리아,271022.52295712323,5523.136536809855,46117.144611575524,37.53083606907525,218.69828577083894,176.5315103054443,192.09372636700388,297.22484376803277,168.28141132404843,527.5001770922247,99.66303643332935,427.8371406588953
세화피앤씨,16725.525344543457,412.5006387408921,3179.9477277986534,33.56605470964613,152.20561851546532,92.31239212922586,149.5556534488578,426.1952817433902,219.0108200011337,398.8966430281854,43.455555666217336,373.2222309166339
샘씨엔에스,17407.07274006847,340.7569000374099,1464.5050409351254,16.985672626700875,145.8150007169008,168.0523895974435,-21.460247717731455,371.4069015018596,282.72045435501326,496.64033953291016,345.57687837107727,151.06346116183292
스튜디오드래곤,288771.7440730058,5609.546696515072,46305.61521125942,44.90126593874267,218.30901900953168,172.07804568268114,527.8239759346476,185.09801614484272,181.4529326053166,872.133426700349,45.089721644192984,827.0437050561558
네오셈,18893.604695903417,419.2341724945825,3284.21417128014,17.22204706098469,0.3568600059917286,66.45831202851276,1261.7413425399432,306.124442530716,235.39338931190636,1458.97014154536,543.4804830337092,915.4896585116512
수젠텍,72037.21412321538,670.9534604236346,10195.213948592205,-1.750154353086761,-2760.024732133026,-149.1862326311517,6598.179654180796,484.25509650917195,416.92739767701715,908.7267880011558,230.67787167291354,678.0489163282424
자비스,8584.129181440536,-143.74441319883817,1388.7553330683706,-36.88868334874045,-189.46860394961413,-442.4221754607163,209.99798901337044,256.2641386276438,239.15139621055232,2336.990949048057,645.3565718017437,1691.634377246313
미래반도체,10691.371998268458,150.970376783488,12819.626952902065,4.5447735705069885,7.517341578667237,3.885280838574922,-86.22171766275012,58.205189131700784,56.28462613488291,225.1385608485455,116.26697030566449,108.87159054288102
SG,27121.089431350145,-823.2987658408061,6942.120748398345,-35.29203651532208,-83.66220002694534,-60.970186231868375,327.8942386620436,2.147707315618354,20.757746598902795,4896.01759014609,1365.4183429723764,3530.5992471737145
야스,171360.93466317529,655.7207647232968,8533.804329634784,31.594406049849884,32.321039715893846,174.2112916423944,185.0207460585311,38.77823732987179,167.96453643736837,931.4823727040206,88.60277078467877,842.8796019193416
한독크린텍,107644.77936144665,2840.357041374347,24865.12186419044,41.02864034716374,160.44149121307046,147.97947805333874,134.05496067116877,327.195832229852,190.86144469620817,320.08819459086897,53.10892670688731,266.9792678839816
포인트엔지니어링,18887.524573229184,284.9014092207077,1918.1399719507879,18.16439576645666,12.656177914451824,38.54428710344543,-178.44530773030021,173.78356125912217,96.80032226702633,599.8840393465,163.3011989249524,436.58284042154753
한국비엔씨,23244.065934352515,-4138.428364696294,1327.0672331417247,-534.8552512409439,-251.64466046772898,-3390.613865480923,866.3010724876934,1532.821567910883,564.0202607548921,1255.4458177270712,830.073345260628,425.37247246644245
케이피에스,49601.760516877934,-230.64271483961272,3682.6851381930796,0.05702148726529088,-1616.996018380909,-2136.1658982665135,3617.1678666274515,285.8569631085065,332.92499752858515,1274.797561982876,106.88073326258022,1167.9168287202958
명성티엔에스,89615.54267940225,352.8803221668228,13822.600968871455,-13.259077613385632,-2104.2793105140045,-2755.055198481872,262.24313658031326,122.22211321376818,88.27937779577299,2086.60233098535,370.3862192863899,1716.2161116989605
실리콘투,97779.85125941692,277.2416217620528,-3732.204545036262,35.77683028565919,80.93806556603627,69.5208959329964,412.9884937129863,305.9299819027571,265.38581674984755,281.17731233143667,42.671464675480394,238.50584765595627
케일럼,86013.29199034016,-640.431318344528,14151.338975914434,-47.7700982981614,-239.60131896151103,-1119.0066760605353,2359.939932274657,412.6955511278587,314.8202847315084,2149.9580418776427,823.2307177998442,1326.7273240777988
소프트캠프,8910.576828900033,-118.02336667586545,1387.2856953371193,-17.660006743806267,2.410835040830563,-7.87237155072378,11.760130801978992,-148.64679267618763,-45.993874168051825,1009.2519714474845,463.0390214779826,546.212949969502
세종메디칼,51357.276285004045,927.6571062433677,4034.304373048035,62.27336144437487,-6955.0881039492215,212052.61208150355,64.7710717875073,578.3964138758245,433.31632230530397,1276.566367560185,242.06960547288102,1033.5542764930929
엠플러스,77133.08406636938,-498.8483394306239,31929.056783904984,4.498765780492556,-524.6437823154265,-469.01430442175644,8317.726911930728,798.7596583724309,648.8098982753316,6130.101053517073,1047.5760274929064,5082.525026024167
크래프톤,801698.8026016966,31664.16941836345,0.0,38.74429238587323,42.03196918795921,46.98278289526008,3.816077466630641,298.3212215349349,289.16828868992496,187.5471166071435,76.48461058939745,111.06250601774603
알리코제약,91087.76485147042,2206.2854510496722,27767.605016005182,40.349999941324924,161.89343628506023,113.06564865801646,432.83619303780324,540.2519623588738,393.1292242129031,1459.00378898443,306.2071028583732,1152.7966861260568
씨티케이,177739.37595932238,-532.8575666307446,17576.900646545597,0.416910155514172,-106.49636665304662,-74.11099075561184,146.66764567676253,-96.38280104106293,60.48520157492954,407.57529217446404,79.80497586473899,327.77031630972516
에스앤디,127310.39893285249,2744.1743827936007,24586.40451271364,19.382148188666378,114.72279944744636,99.313069584558,142.82827050189093,116.82441047903161,99.28924716863298,149.68605853966693,6.958036066644032,142.7280224730229
덴티스,27201.647567753967,1400.7032486532705,10152.23744455932,67.62578982647908,-38.54190687090415,-76.66290258903149,257.1489630743022,1661.277126981172,1634.7685201640372,3058.6727011928824,793.7192793826293,2264.9534218102517
차백신연구소,7986.528608951059,-220.38229558436564,17.824432889792433,-23.482054285210324,-5449.461204623142,-5721.4450459210875,93.40250821410135,-17.38509418108942,-14.293427782296938,563.3971918087778,23.681456507947665,539.7157353008303
에이프로,66011.72176754655,-947.1737278725197,10035.157890415583,6.132619073023689,-803.6559223012367,-621.6389800549763,10626.151026959491,104.86899488315981,137.84960519293975,997.2364938035182,27.884833194910627,969.3516606086077
아이퀘스트,48109.67455376689,721.3539097390244,4350.45673547432,17.11778275211061,197.5713890028976,174.83357939500786,605.7464604163297,108.38955657183703,296.30975685847693,209.38373216006661,65.83193460362934,143.5517975564373
디케이앤디,90059.86575018954,2072.6797869722336,18208.035840197954,37.504724300543415,124.70203136360813,71.85929320035866,287.3621897123747,155.63429354510168,165.7389455876559,934.127673141619,197.04109387964473,737.0865792619743
유틸렉스,60493.56848512217,-3846.4208485597474,12.91491047283692,-125.32133569693744,-23445.456375731042,-22260.83814791312,4.176847895946189,-78.65448363754975,-38.129188287000645,783.5680422054636,144.80091692125828,638.7671252842055
어스앤에어로스페이스,4103744.7918513427,2241216.178754555,2510588.3442275035,-1252.6906362885934,-1045.688247969384,-1269.4037780397987,401.1258371262958,50.9778634846771,132.2627639102504,11680.915287634016,2600.1066406072446,9080.808647026772
덕우전자,89781.97659326778,1173.8744591599284,21744.735541963717,27.0669711595119,82.37307271573515,56.920919492672446,413.4918401914902,11.673130814153307,136.79053070556807,1300.344609640773,207.62410898126114,1092.7205006595116
디알젬,73762.09852916963,4345.523099799987,21732.45600068683,93.4711172861314,243.0143929706808,235.85365113707607,420.39488445107395,196.22662444349916,224.44918653647903,1119.7668499484803,198.90872253016516,920.8581274183152
케어랩스,100586.81134602793,122.28580468763923,0.0,-1.2280203714630993,5.317393067769937,0.5585570600240491,31.66363438638857,571.094559940315,509.9321658138501,1602.2647411762296,1029.8559743399533,572.408766836276
디앤씨미디어,71278.31650452907,1955.1950201811744,12312.83312040929,65.27167012639936,407.19266381840487,346.6903984179577,434.91447322754516,440.0809736844454,452.36393376887634,533.5198517474465,37.44087819852954,496.0789735489171
펄어비스,392598.60075618426,12061.59303484872,0.0,89.73633077898984,0.0,0.0,0.0,327.17314494598776,274.20702473020265,1224.0551777627609,625.3224752728404,598.7327024899205
유에스티,34313.61494223176,963.6375086926578,7360.019944681715,45.63323631950334,262.5968050293344,192.64689648922757,369.0254356645473,247.4379161810644,156.44284413893183,801.2786951001954,8.374310710683144,792.9043843895121
데이타솔루션,23249.864659384584,-387.55649205878746,7040.885694130151,-53.43532156470897,-48.52409612483733,-57.53802282556365,168.91308003337082,-568.7523056548763,-465.890320087875,2229.9442944908387,125.32660873063503,2104.6176857602045
상신전자,37024.043272083094,-71.27058289160091,17291.96346068948,14.549969818071911,62.33079109090073,53.10863824008796,151.6029344887688,125.79092571570393,117.65500802882777,1719.9848969086524,172.70466898041934,1547.280227928233
지니언스,61589.77444240659,550.9004231509559,6337.093736060986,10.371262934610197,205.41102423688153,275.73951794053704,373.4144388147611,-248.36653540663963,-63.83977819092029,483.2856386795248,180.52502654053782,302.76061213898714
휴엠앤씨,23685.587491101916,-4036.4950497964182,3247.975724387972,-459.35026068885713,-243.38148500467125,-2707.912826911531,1703.5249434493935,1868.202587725363,1050.6283547786243,2168.9907966884534,656.5550451268133,1512.4357515616398
유비쿼스,213541.55936334078,6122.942712511796,34085.84664858756,76.47210962220939,476.8280873939281,422.37578410750075,435.8874833990873,92.67692712351544,81.99778239354467,953.3417585156621,172.73692279848765,780.6048357171746
씨앤지하이테크,130057.65805757795,1624.811610224834,24723.908869563475,45.70801202020312,198.70524857103013,164.69010932779364,1207.0892461298283,354.9246476331846,401.841577690293,832.0223384669561,158.36005926875433,673.6622791982018
이랜시스,17073.79190058598,440.8182161459883,5859.313124533175,36.317714748463615,112.41312592608368,97.42163828388749,158.2902537868824,3.6329239433460008,62.154843321667585,990.330243364134,301.9920042972701,688.3382390668637
크라운제과,181326.18788645213,4514.227617759387,72942.7638488358,60.342897173019885,152.97585787189112,124.34813531841654,235.17758605724623,-43.83177036547899,20.34556703395633,3441.213925569172,1430.9468645082552,2010.2670610609166
크라운제과우,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP시스템,174029.01730308932,10832.853188958468,72146.53623593114,159.8088359738329,243.06557883357146,191.83886107229876,-38.570810983869194,166.61022578265207,102.08633948818017,6663.108624194472,931.441124319297,5731.667499875176
영화테크,91368.73557318897,-241.42150055813613,11794.640283815388,9.535897276600814,64.17361999748184,98.2772721293377,121.8951789780688,-19.86379284251178,56.5145751390214,657.1521344836739,215.51917376042394,441.63296072325
엔에프씨,60891.728281883945,939.8194127718807,7541.930153631775,16.804264861543626,107.94970048659526,104.15986242941126,79.13446413826006,73.2406476931171,25.614736515011526,386.70851098578584,84.36984654521741,302.33866444056844
HD현대,12322146.958960934,126816.81080984678,4543452.251855564,42.17151611802223,82.1257461912686,45.33658469709531,705.9404000560351,712.0200405342023,467.69085955908685,3745.9417072180945,1583.0191014508548,2162.9226057672404
현대일렉트릭,281188.3429845254,6293.434057482871,118584.8962672685,30.21028850024938,29.7455330542146,-43.566049111885825,169.7531120072482,118.83174340171263,114.46225843718533,4985.852631546264,1099.5497727279692,3886.3028588182933
현대건설기계,1262833.9657280128,25744.01167666388,449048.5948971339,48.152624805140576,129.968358069716,73.09118374897845,201.64671209769875,263.4112816699278,239.44055037518956,2729.4517568978927,858.6586891692294,1870.793067728663
