종목명,variable,value
HL홀딩스,유사종목_5,전방
HMM,유사종목_1,SK렌터카
HMM,유사종목_2,한국항공우주
HMM,유사종목_3,한미글로벌
HMM,유사종목_4,금호전기
HMM,유사종목_5,신흥에스이씨
HPSP,유사종목_1,세아메카닉스
HPSP,유사종목_2,러셀
HPSP,유사종목_3,세화피앤씨
HPSP,유사종목_4,알로이스
HPSP,유사종목_5,지아이텍
HRS,유사종목_1,영풍제지
HRS,유사종목_2,바이넥스
HRS,유사종목_3,시공테크
HRS,유사종목_4,신풍제약
HRS,유사종목_5,까스텔바작
HSD엔진,유사종목_1,특수건설
HSD엔진,유사종목_2,우신시스템
HSD엔진,유사종목_3,핸즈코퍼레이션
HSD엔진,유사종목_4,에쓰씨엔지니어링
HSD엔진,유사종목_5,우진플라임
IBKS제17호스팩,유사종목_1,솔루스첨단소재2우B
IBKS제17호스팩,유사종목_2,SK네트웍스우
IBKS제17호스팩,유사종목_3,IBKS제17호스팩
IBKS제17호스팩,유사종목_4,한양증권우
IBKS제17호스팩,유사종목_5,유안타증권우
IBKS제18호스팩,유사종목_1,라이콤
IBKS제18호스팩,유사종목_2,코닉오토메이션
IBKS제18호스팩,유사종목_3,솔트웨어
IBKS제18호스팩,유사종목_4,비스토스
IBKS제18호스팩,유사종목_5,옵티코어
IBKS제19호스팩,유사종목_1,키움제7호스팩
IBKS제19호스팩,유사종목_2,삼성스팩4호
IBKS제19호스팩,유사종목_3,신한제10호스팩
IBKS제19호스팩,유사종목_4,케이비제22호스팩
IBKS제19호스팩,유사종목_5,유안타제9호스팩
IBKS제20호스팩,유사종목_1,교보12호스팩
IBKS제20호스팩,유사종목_2,케이비제22호스팩
IBKS제20호스팩,유사종목_3,삼성스팩4호
IBKS제20호스팩,유사종목_4,유진스팩9호
IBKS제20호스팩,유사종목_5,IBKS제19호스팩
IBKS제21호스팩,유사종목_1,유진스팩6호
IBKS제21호스팩,유사종목_2,IBKS제20호스팩
IBKS제21호스팩,유사종목_3,교보12호스팩
IBKS제21호스팩,유사종목_4,키움제6호스팩
IBKS제21호스팩,유사종목_5,유진스팩9호
IHQ,유사종목_1,바이오에프디엔씨
IHQ,유사종목_2,파미셀
IHQ,유사종목_3,엑셈
IHQ,유사종목_4,지오엘리먼트
IHQ,유사종목_5,에이프로젠바이오로직스
ISC,유사종목_1,서호전기
ISC,유사종목_2,농우바이오
ISC,유사종목_3,동서
ISC,유사종목_4,원익홀딩스
ISC,유사종목_5,유수홀딩스
ITX-AI,유사종목_1,자비스
ITX-AI,유사종목_2,에스아이리소스
ITX-AI,유사종목_3,아이엘사이언스
ITX-AI,유사종목_4,아이비김영
ITX-AI,유사종목_5,소프트캠프
JB금융지주,유사종목_1,KB금융
JB금융지주,유사종목_2,신한지주
JB금융지주,유사종목_3,다올투자증권
JB금융지주,유사종목_4,한국금융지주
JB금융지주,유사종목_5,제주은행
JTC,유사종목_1,지엘팜텍
JTC,유사종목_2,SBW생명과학
JTC,유사종목_3,대창솔루션
JTC,유사종목_4,씨엔플러스
JTC,유사종목_5,TS트릴리온
JW생명과학,유사종목_1,HD현대
JW생명과학,유사종목_2,오뚜기
JW생명과학,유사종목_3,삼천리
JW생명과학,유사종목_4,CJ제일제당
JW생명과학,유사종목_5,두산
JW신약,유사종목_1,에이엔피
JW신약,유사종목_2,케스피온
JW신약,유사종목_3,인디에프
JW신약,유사종목_4,SG
JW신약,유사종목_5,에스티오
JW중외제약,유사종목_1,한국항공우주
JW중외제약,유사종목_2,지엠비코리아
JW중외제약,유사종목_3,신흥에스이씨
JW중외제약,유사종목_4,보령
JW중외제약,유사종목_5,이지홀딩스
JW중외제약2우B,유사종목_1,솔루스첨단소재2우B
JW중외제약2우B,유사종목_2,SK네트웍스우
JW중외제약2우B,유사종목_3,IBKS제17호스팩
JW중외제약2우B,유사종목_4,한양증권우
JW중외제약2우B,유사종목_5,유안타증권우
JW중외제약우,유사종목_1,솔루스첨단소재2우B
JW중외제약우,유사종목_2,SK네트웍스우
JW중외제약우,유사종목_3,IBKS제17호스팩
JW중외제약우,유사종목_4,한양증권우
JW중외제약우,유사종목_5,유안타증권우
JW홀딩스,유사종목_1,휴맥스
JW홀딩스,유사종목_2,누리플랜
JW홀딩스,유사종목_3,그린케미칼
JW홀딩스,유사종목_4,파세코
JW홀딩스,유사종목_5,현우산업
JYP Ent.,유사종목_1,보라티알
JYP Ent.,유사종목_2,웹케시
JYP Ent.,유사종목_3,씨앤지하이테크
JYP Ent.,유사종목_4,PI첨단소재
JYP Ent.,유사종목_5,진양제약
KBG,유사종목_1,엔시스
KBG,유사종목_2,유티아이
KBG,유사종목_3,엠투아이
KBG,유사종목_4,칩스앤미디어
KBG,유사종목_5,키이스트
KBI메탈,유사종목_1,에스에이엠티
KBI메탈,유사종목_2,유니트론텍
KBI메탈,유사종목_3,LS전선아시아
KBI메탈,유사종목_4,효성ITX
KBI메탈,유사종목_5,대창
KB금융,유사종목_1,신한지주
KB금융,유사종목_2,JB금융지주
KB금융,유사종목_3,다올투자증권
KB금융,유사종목_4,제주은행
KB금융,유사종목_5,한국금융지주
KB스타리츠,유사종목_1,하나금융21호스팩
KB스타리츠,유사종목_2,모비데이즈
KB스타리츠,유사종목_3,스코넥
KB스타리츠,유사종목_4,신한서부티엔디리츠
KB스타리츠,유사종목_5,마스턴프리미어리츠
KB오토시스,유사종목_1,새로닉스
KB오토시스,유사종목_2,아이씨디
KB오토시스,유사종목_3,NPC
KB오토시스,유사종목_4,아바코
KB오토시스,유사종목_5,한농화성
KCC,유사종목_1,POSCO홀딩스
KCC,유사종목_2,신세계
KCC,유사종목_3,아세아
KCC,유사종목_4,삼성전자
KCC,유사종목_5,대한제분
KCC건설,유사종목_1,우성
KCC건설,유사종목_2,한세예스24홀딩스
KCC건설,유사종목_3,탑엔지니어링
KCC건설,유사종목_4,세종공업
KCC건설,유사종목_5,현대리바트
KCC글라스,유사종목_1,경방
KCC글라스,유사종목_2,한일철강
KCC글라스,유사종목_3,세방
KCC글라스,유사종목_4,만호제강
KCC글라스,유사종목_5,슈피겐코리아
KCI,유사종목_1,팬오션
KCI,유사종목_2,아시아나IDT
KCI,유사종목_3,한국철강
KCI,유사종목_4,화성밸브
KCI,유사종목_5,비츠로셀
KCTC,유사종목_1,에스피지
KCTC,유사종목_2,동아화성
KCTC,유사종목_3,코아시아
KCTC,유사종목_4,호전실업
